event_id,soil_moisture_0_to_100cm_mean,soil_moisture_0_to_7cm_mean,soil_moisture_28_to_100cm_mean,soil_moisture_7_to_28cm_mean,soil_temperature_0_to_100cm_mean,soil_temperature_0_to_7cm_mean,soil_temperature_28_to_100cm_mean,soil_temperature_7_to_28cm_mean
579525,0.30603418,0.3711667,0.28087503,0.37058333,72.23154,78.28774,70.67149,75.56151
576534,0.3330992,0.40404165,0.3111249,0.3847917,71.70507,75.2135,70.44351,74.861
576536,0.28516254,0.37800002,0.26599994,0.31991667,71.17794,74.92475,69.903496,74.2985
576537,0.28075126,0.376875,0.26200005,0.313,70.68793,74.4884,69.39591,73.85091
576538,0.29406834,0.3874583,0.26970834,0.34645844,70.7183,74.4299,69.47615,73.7399
579552,0.32776913,0.33241665,0.32608327,0.33200005,75.72417,82.141396,73.6289,80.768906
579557,0.3151417,0.3067917,0.31625,0.31412497,75.111946,81.69679,72.99304,80.18181
579554,0.32492295,0.3182917,0.32537493,0.32558334,75.303955,81.94685,73.17559,80.386856
574805,0.27423957,0.3425834,0.25287494,0.32470834,68.45896,68.4998,68.33479,68.87105
583509,0.3870242,0.47566667,0.36487487,0.4334166,68.80077,71.0816,68.051605,70.6091
583510,0.38868502,0.47474995,0.368,0.43091664,69.32368,71.63015,68.577644,71.11265
583512,0.29801878,0.38712505,0.28100002,0.32666662,68.767365,70.7009,68.11716,70.35216
583635,0.41470206,0.4652083,0.39208338,0.4754167,70.803276,72.033356,70.30086,72.11585
583637,0.40388253,0.48999998,0.37508333,0.47391665,70.33358,71.73545,69.80046,71.69421
583638,0.40616754,0.488875,0.37733328,0.47745836,70.277145,71.70725,69.738495,71.647255
583639,0.40616754,0.488875,0.37733328,0.47745836,70.17185,71.60195,69.633194,71.54195
583526,0.30446625,0.40862498,0.27350006,0.3759167,67.67255,69.16475,67.0835,69.194756
583569,0.37680134,0.46237496,0.35204172,0.43316662,68.034195,68.99,67.583755,69.26
583547,0.30694833,0.4115834,0.26883337,0.40275002,68.97114,71.4809,68.30466,70.41965
583553,0.3864467,0.47691664,0.3546667,0.46525,67.90666,70.1174,67.323654,69.16865
583640,0.4146671,0.4832084,0.3856667,0.49125,69.36695,72.3293,68.61304,70.9643
583556,0.3864467,0.47691664,0.3546667,0.46525,68.08216,70.2929,67.49915,69.34415
583559,0.30694833,0.4115834,0.26883337,0.40275002,68.85413,71.3639,68.18765,70.30264
583560,0.30414623,0.41062498,0.26566663,0.4005833,68.372375,70.92365,67.67991,69.89615
583641,0.4261808,0.47145844,0.405,0.4837083,70.398766,72.34355,69.82731,71.70981
583642,0.42837796,0.48229167,0.4035833,0.49541664,70.26118,72.31071,69.6632,71.62819
583643,0.33383623,0.41775,0.30145833,0.416875,68.37065,71.43155,67.5653,70.11155
588933,0.43535832,0.48545834,0.41616663,0.4844583,71.57652,73.750244,70.904,73.157745
583644,0.33630583,0.41395834,0.30579168,0.41504166,68.19984,71.2127,67.39895,69.94145
583645,0.35375917,0.4145417,0.32912496,0.41795835,69.04145,72.12395,68.253944,70.71395
583646,0.3376225,0.41487503,0.3083333,0.41229168,69.359566,72.075195,68.65894,70.856445
583647,0.41863498,0.46712503,0.39900008,0.46979165,69.87141,72.92285,69.10909,71.46785
575665,0.28832087,0.40658334,0.25387505,0.36699998,68.25249,70.55345,67.55346,69.8822
588935,0.34738085,0.41958335,0.32054165,0.41533336,71.41086,73.982605,70.68636,73.0376
585376,0.43252838,0.47245833,0.4111667,0.49245837,69.19669,71.971405,68.4239,70.9214
585379,0.41396293,0.44404164,0.39508334,0.46866664,70.70435,73.0772,70.0397,72.19219
583564,0.40840468,0.49245837,0.37645826,0.48991668,67.837845,69.8867,67.2992,69.0017
583834,0.29553375,0.40037498,0.26145837,0.37741673,68.51615,71.458694,67.734955,70.2137
583839,0.40839997,0.4719999,0.3827916,0.475,67.848274,69.78079,67.15581,69.5783
581228,0.44006082,0.47545838,0.42174998,0.49104166,71.56817,75.0668,70.69431,73.39805
581230,0.43748832,0.4777083,0.41766676,0.49204168,71.34571,74.6513,70.507545,73.117546
581231,0.43748832,0.4777083,0.41766676,0.49204168,71.40421,74.7098,70.56605,73.176056
581232,0.43748832,0.4777083,0.41766676,0.49204168,71.32231,74.6279,70.484146,73.09415
581233,0.42954504,0.476625,0.41133335,0.47629175,70.132324,72.53375,69.458755,71.64125
581235,0.42922625,0.473375,0.4080833,0.487,70.05991,72.73775,69.3215,71.699
581236,0.42922625,0.473375,0.4080833,0.487,69.87272,72.55055,69.13429,71.511795
581238,0.42922625,0.473375,0.4080833,0.487,70.20032,72.87815,69.4619,71.8394
581239,0.42538,0.47212505,0.40316653,0.48595834,70.160866,72.6641,69.472855,71.68535
583840,0.30074003,0.39987502,0.26700005,0.38337505,67.61731,69.91445,66.895706,69.3257
583841,0.35721418,0.4345417,0.32658333,0.43645832,68.83441,70.412445,68.27869,70.2137
583842,0.2833246,0.39233336,0.24687505,0.37195835,68.73961,71.35445,67.88569,70.7957
583849,0.28907833,0.3985833,0.25295836,0.3764167,68.47539,70.79705,67.707054,70.3358
588613,0.34499463,0.37520835,0.33699992,0.36233333,72.89671,76.6604,71.66166,75.87665
597503,0.39105,0.44962502,0.37308335,0.43312502,68.79935,73.66159,67.3766,72.0566
583853,0.39628163,0.44904172,0.38120833,0.430375,69.433174,74.3042,68.0267,72.6317
597505,0.33725333,0.39983335,0.31758326,0.3838334,70.46315,75.211105,69.076096,73.6361
587368,0.35736594,0.40445828,0.33970836,0.40220842,72.79693,76.89395,71.542694,75.73145
577453,0.4248067,0.4755417,0.40104166,0.489375,69.36159,73.4234,68.0609,72.46715
581785,0.3647325,0.403625,0.34812498,0.4087083,68.43061,73.51235,67.10735,71.2736
581787,0.4137642,0.40429163,0.41358337,0.41754165,71.33297,77.05505,69.8438,74.5313
581788,0.38106957,0.38495836,0.37675,0.39458334,70.24865,75.6077,68.8427,73.2827
581789,0.36970833,0.38133335,0.36299995,0.38883337,71.0168,76.03475,69.68225,73.919754
581791,0.38122335,0.38433334,0.37699994,0.39466667,71.31823,76.741394,69.8939,74.393906
581793,0.38106957,0.38495836,0.37675,0.39458334,70.33055,75.689606,68.9246,73.36461
581797,0.4137642,0.40429163,0.41358337,0.41754165,70.97026,76.692345,69.4811,74.1686
581799,0.3588388,0.380375,0.347875,0.38925004,70.64886,76.04524,69.224,73.73525
581801,0.38122335,0.38433334,0.37699994,0.39466667,71.03743,76.460594,69.6131,74.1131
581802,0.3588388,0.380375,0.347875,0.38925004,70.91795,76.314354,69.4931,74.00435
581805,0.38122335,0.38433334,0.37699994,0.39466667,71.31823,76.741394,69.8939,74.393906
581809,0.37782168,0.39779165,0.37024996,0.3971251,69.8198,74.6987,68.5262,72.6287
581811,0.36472583,0.38483334,0.35479164,0.39208332,70.78644,76.0898,69.3923,73.798546
581812,0.35893503,0.37899998,0.34816667,0.3891667,71.73193,77.20325,70.2845,74.87075
