event_id,county_name,deaths_direct,injuries_direct,damage_property_num,damage_crops_num,injuries_indirect,deaths_indirect
581235,ALLEN CO.,0,0,0,0,0,0
581236,ALLEN CO.,0,0,0,0,0,0
581238,ALLEN CO.,0,0,5000,0,0,0
581239,ALLEN CO.,0,0,0,0,0,0
583840,PIKE CO.,0,0,1000,0,0,0
583841,BELL CO.,0,0,1000,0,0,0
583842,JOHNSON CO.,0,0,10000,0,0,0
583849,FLOYD CO.,0,0,5000,0,0,0
588613,MCCRACKEN CO.,0,0,1200000,0,0,0
597503,WHITLEY CO.,0,0,1000,0,0,0
583853,WHITLEY CO.,0,0,1000,0,0,0
597505,WHITLEY CO.,0,0,1000,0,0,0
587368,MCCRACKEN CO.,0,0,0,0,0,0
577453,GREENUP CO.,0,0,25000,0,0,0
581785,TRIMBLE CO.,0,0,0,0,0,0
581787,JEFFERSON CO.,0,0,0,0,0,0
581788,OLDHAM CO.,0,0,0,0,0,0
581789,SPENCER CO.,0,0,25000,0,0,0
581791,JEFFERSON CO.,0,0,0,0,0,0
581793,OLDHAM CO.,0,0,0,0,0,0
581797,JEFFERSON CO.,0,0,100000,0,0,0
581799,JEFFERSON CO.,0,0,0,0,0,0
581801,JEFFERSON CO.,0,0,250000,0,0,0
581802,JEFFERSON CO.,0,0,0,0,0,0
581805,JEFFERSON CO.,0,0,50000,0,0,0
581809,SHELBY CO.,0,0,0,0,0,0
581811,BULLITT CO.,0,0,0,0,0,0
581812,JEFFERSON CO.,0,0,0,0,0,0
581815,JEFFERSON CO.,0,0,0,0,0,0
581828,BOYLE CO.,0,0,0,0,0,0
581848,GARRARD CO.,0,0,0,0,0,0
584088,FLEMING CO.,0,0,15000,0,0,0
584252,JEFFERSON CO.,0,0,0,0,0,0
584256,FAYETTE CO.,0,0,5000,0,0,0
584089,ROWAN CO.,0,0,160000,0,0,0
584092,JOHNSON CO.,4,15,3500000,0,0,0
584095,MORGAN CO.,0,0,1000,0,0,0
584091,JOHNSON CO.,0,0,1000,0,0,0
597534,JOHNSON CO.,0,0,1000,0,0,0
584300,HENRY CO.,0,0,0,0,0,0
584304,TRIMBLE CO.,0,0,75000,0,0,0
584310,TRIMBLE CO.,0,0,0,0,0,0
